2026-06-01	00	6934
2026-06-01	01	3510
2026-06-01	02	3472
2026-06-01	03	3548
2026-06-01	04	7091
2026-06-01	05	10703
2026-06-01	06	17665
2026-06-01	07	28059
2026-06-01	08	38612
2026-06-01	09	41927
2026-06-01	10	45815
2026-06-01	11	42434
2026-06-01	12	35493
2026-06-01	13	32094
2026-06-01	14	35269
2026-06-01	15	42817
2026-06-01	16	49504
2026-06-01	17	56152
2026-06-01	18	52767
2026-06-01	19	38662
2026-06-01	20	28217
2026-06-01	21	21120
2026-06-01	22	14073
2026-06-01	23	10729
2026-06-02	00	7119
2026-06-02	01	3469
2026-06-02	02	3570
2026-06-02	03	3598
2026-06-02	04	7084
2026-06-02	05	10422
2026-06-02	06	17514
2026-06-02	07	27906
2026-06-02	08	39238
2026-06-02	09	42371
2026-06-02	10	46131
2026-06-02	11	42568
2026-06-02	12	35645
2026-06-02	13	31699
2026-06-02	14	35057
2026-06-02	15	42355
2026-06-02	16	49051
2026-06-02	17	56849
2026-06-02	18	52455
2026-06-02	19	38667
2026-06-02	20	28166
2026-06-02	21	21071
2026-06-02	22	14068
2026-06-02	23	10594
2026-06-03	00	7110
2026-06-03	01	3502
2026-06-03	02	3568
2026-06-03	03	3560
2026-06-03	04	7110
2026-06-03	05	10602
2026-06-03	06	17610
2026-06-03	07	28168
2026-06-03	08	38929
2026-06-03	09	42475
2026-06-03	10	45479
2026-06-03	11	42557
2026-06-03	12	34961
2026-06-03	13	31778
2026-06-03	14	34861
2026-06-03	15	42384
2026-06-03	16	49111
2026-06-03	17	56599
2026-06-03	18	52978
2026-06-03	19	38800
2026-06-03	20	28687
2026-06-03	21	21219
2026-06-03	22	14101
2026-06-03	23	10517
