2026-06-01	/products/laptop	44821
2026-06-01	/cart	44686
2026-06-01	/missing-page	44672
2026-06-01	/assets/app.js	44653
2026-06-01	/products	44538
2026-06-01	/checkout	44523
2026-06-01	/docs/mapreduce	44510
2026-06-01	/index.html	44488
2026-06-01	/assets/app.css	44474
2026-06-01	/products/phone	44330
2026-06-02	/	44702
2026-06-02	/assets/app.css	44636
2026-06-02	/index.html	44522
2026-06-02	/products/phone	44517
2026-06-02	/docs/mapreduce	44511
2026-06-02	/checkout	44510
2026-06-02	/docs/hive	44464
2026-06-02	/products/laptop	44454
2026-06-02	/missing-page	44451
2026-06-02	/login	44420
2026-06-03	/cart	44761
2026-06-03	/assets/app.js	44751
2026-06-03	/docs/hive	44741
2026-06-03	/docs/mapreduce	44633
2026-06-03	/products/laptop	44631
2026-06-03	/products/phone	44472
2026-06-03	/	44416
2026-06-03	/api/search	44398
2026-06-03	/checkout	44370
2026-06-03	/index.html	44336
