id,year,month,city,user_id,amount,category
1000000,2024,5,HCM,1000000,895.2647588804309,cat_0
1000001,2025,6,HCM,1000001,14.844873113219137,cat_1
1000002,2023,7,HN,1000002,887.0668177630232,cat_2
1000003,2024,8,DN,1000003,952.1095164481303,cat_3
1000004,2025,9,HCM,1000004,302.8654907783216,cat_4
1000005,2023,10,HCM,1000005,148.50966735959003,cat_5
1000006,2024,11,HN,1000006,238.6199542721259,cat_6
1000007,2025,12,CT,1000007,764.8204721386788,cat_7
1000008,2023,1,HCM,1000008,126.38958230591335,cat_8
1000009,2024,2,HCM,1000009,412.43354895131233,cat_9
1000010,2025,3,HN,1000010,877.8877009565884,cat_10
1000011,2023,4,DN,1000011,39.341352468495685,cat_11
1000012,2024,5,HCM,1000012,34.968674767494434,cat_12
1000013,2025,6,HCM,1000013,969.2962054127621,cat_13
1000014,2023,7,HN,1000014,249.46640602130688,cat_14
1000015,2024,8,CT,1000015,945.5041934815318,cat_15
1000016,2025,9,HCM,1000016,664.2505220903995,cat_16
1000017,2023,10,HCM,1000017,192.27306595025007,cat_17
1000018,2024,11,HN,1000018,47.02823531944722,cat_18
1000019,2025,12,DN,1000019,996.2490772365392,cat_19
1000020,2023,1,HCM,1000020,737.2376981265664,cat_0
1000021,2024,2,HCM,1000021,371.4792810668427,cat_1
1000022,2025,3,HN,1000022,98.25913879634606,cat_2
1000023,2023,4,CT,1000023,269.4615911481817,cat_3
1000024,2024,5,HCM,1000024,390.82657892516204,cat_4
1000025,2025,6,HCM,1000025,568.4956066586275,cat_5
1000026,2023,7,HN,1000026,796.9143073371976,cat_6
1000027,2024,8,DN,1000027,285.28335418367357,cat_7
1000028,2025,9,HCM,1000028,474.8845763813785,cat_8
1000029,2023,10,HCM,1000029,137.10732395614144,cat_9
1000030,2024,11,HN,1000030,740.852842333414,cat_10
1000031,2025,12,CT,1000031,209.90491756020725,cat_11
1000032,2023,1,HCM,1000032,85.52163680170554,cat_12
1000033,2024,2,HCM,1000033,103.62553655746932,cat_13
1000034,2025,3,HN,1000034,770.1160466675149,cat_14
1000035,2023,4,DN,1000035,459.47717865326655,cat_15
1000036,2024,5,HCM,1000036,265.7386906697614,cat_16
1000037,2025,6,HCM,1000037,785.0701048106984,cat_17
1000038,2023,7,HN,1000038,972.498868419332,cat_18
1000039,2024,8,CT,1000039,96.53878173462971,cat_19
1000040,2025,9,HCM,1000040,153.53906395978646,cat_0
1000041,2023,10,HCM,1000041,85.41242686562988,cat_1
1000042,2024,11,HN,1000042,783.0301116853113,cat_2
1000043,2025,12,DN,1000043,880.3276571794714,cat_3
1000044,2023,1,HCM,1000044,477.0624451524105,cat_4
1000045,2024,2,HCM,1000045,250.57039307709707,cat_5
1000046,2025,3,HN,1000046,780.0376583460384,cat_6
1000047,2023,4,CT,1000047,506.06789896359106,cat_7
1000048,2024,5,HCM,1000048,120.58616262693211,cat_8
1000049,2025,6,HCM,1000049,997.9284780580932,cat_9
1000050,2023,7,HN,1000050,619.926699365467,cat_10
1000051,2024,8,DN,1000051,242.50317649366593,cat_11
1000052,2025,9,HCM,1000052,801.414292642073,cat_12
1000053,2023,10,HCM,1000053,433.4872888278471,cat_13
1000054,2024,11,HN,1000054,120.99461701475633,cat_14
1000055,2025,12,CT,1000055,128.129233410049,cat_15
1000056,2023,1,HCM,1000056,598.9216758204016,cat_16
1000057,2024,2,HCM,1000057,394.22507998741287,cat_17
1000058,2025,3,HN,1000058,477.49467305761186,cat_18
1000059,2023,4,DN,1000059,116.74902923963326,cat_19
1000060,2024,5,HCM,1000060,968.2897376648865,cat_0
1000061,2025,6,HCM,1000061,213.46956342287947,cat_1
1000062,2023,7,HN,1000062,147.23254741050562,cat_2
1000063,2024,8,CT,1000063,461.3255362626422,cat_3
1000064,2025,9,HCM,1000064,38.27099714507576,cat_4
1000065,2023,10,HCM,1000065,990.2328581099912,cat_5
1000066,2024,11,HN,1000066,80.97653770525926,cat_6
1000067,2025,12,DN,1000067,540.8307715820423,cat_7
1000068,2023,1,HCM,1000068,956.3891371937076,cat_8
1000069,2024,2,HCM,1000069,769.0174716780009,cat_9
1000070,2025,3,HN,1000070,988.6612153174221,cat_10
1000071,2023,4,CT,1000071,442.5579454308479,cat_11
1000072,2024,5,HCM,1000072,808.5146441067072,cat_12
1000073,2025,6,HCM,1000073,119.59532483594926,cat_13
1000074,2023,7,HN,1000074,87.9457242206807,cat_14
1000075,2024,8,DN,1000075,1.7161703937764727,cat_15
1000076,2025,9,HCM,1000076,225.19406477762672,cat_16
1000077,2023,10,HCM,1000077,320.9092085730233,cat_17
1000078,2024,11,HN,1000078,649.6717469788111,cat_18
1000079,2025,12,CT,1000079,480.84226125976016,cat_19
1000080,2023,1,HCM,1000080,169.55944756803254,cat_0
1000081,2024,2,HCM,1000081,547.9126398557793,cat_1
1000082,2025,3,HN,1000082,353.64292252068253,cat_2
1000083,2023,4,DN,1000083,740.5543409694616,cat_3
1000084,2024,5,HCM,1000084,893.6472029025238,cat_4
1000085,2025,6,HCM,1000085,670.6477056996896,cat_5
1000086,2023,7,HN,1000086,116.90607881017246,cat_6
1000087,2024,8,CT,1000087,759.5253002063137,cat_7
1000088,2025,9,HCM,1000088,255.39274197751917,cat_8
1000089,2023,10,HCM,1000089,695.2048834172925,cat_9
1000090,2024,11,HN,1000090,725.3715291414361,cat_10
1000091,2025,12,DN,1000091,700.7969152375662,cat_11
1000092,2023,1,HCM,1000092,70.27122332854118,cat_12
1000093,2024,2,HCM,1000093,485.0751037692226,cat_13
1000094,2025,3,HN,1000094,792.8605571311233,cat_14
1000095,2023,4,CT,1000095,379.45760252586666,cat_15
1000096,2024,5,HCM,1000096,577.166874752796,cat_16
1000097,2025,6,HCM,1000097,75.81918581412062,cat_17
1000098,2023,7,HN,1000098,757.316976766377,cat_18
1000099,2024,8,DN,1000099,918.1201026913369,cat_19
1000100,2025,9,HCM,1000100,196.04134580016085,cat_0
1000101,2023,10,HCM,1000101,467.8065269225302,cat_1
1000102,2024,11,HN,1000102,123.38932335543073,cat_2
