id,year,month,city,user_id,amount,category
375000,2023,1,HCM,375000,463.72945921426344,cat_0
375001,2024,2,HCM,375001,660.3556271767654,cat_1
375002,2025,3,HN,375002,29.2807848896951,cat_2
375003,2023,4,DN,375003,987.0370206564008,cat_3
375004,2024,5,HCM,375004,318.192507875696,cat_4
375005,2025,6,HCM,375005,293.5622523274922,cat_5
375006,2023,7,HN,375006,670.0981709801729,cat_6
375007,2024,8,CT,375007,932.8101658606818,cat_7
375008,2025,9,HCM,375008,913.1185148947372,cat_8
375009,2023,10,HCM,375009,626.0498750743714,cat_9
375010,2024,11,HN,375010,146.36924474466383,cat_10
375011,2025,12,DN,375011,656.9719705299138,cat_11
375012,2023,1,HCM,375012,135.5698858422102,cat_12
375013,2024,2,HCM,375013,732.5064287667153,cat_13
375014,2025,3,HN,375014,482.9430017815014,cat_14
375015,2023,4,CT,375015,456.66647667098306,cat_15
375016,2024,5,HCM,375016,454.696968001292,cat_16
375017,2025,6,HCM,375017,23.005352018410473,cat_17
375018,2023,7,HN,375018,640.7960309899597,cat_18
375019,2024,8,DN,375019,678.6324129477034,cat_19
375020,2025,9,HCM,375020,462.7258253101282,cat_0
375021,2023,10,HCM,375021,67.02655939338031,cat_1
375022,2024,11,HN,375022,831.0050795910212,cat_2
375023,2025,12,CT,375023,997.3550798492377,cat_3
375024,2023,1,HCM,375024,844.3089645177025,cat_4
375025,2024,2,HCM,375025,524.0810893698203,cat_5
375026,2025,3,HN,375026,2.4002239800123837,cat_6
375027,2023,4,DN,375027,258.2545664887717,cat_7
375028,2024,5,HCM,375028,709.3937649435824,cat_8
375029,2025,6,HCM,375029,204.77150270748666,cat_9
375030,2023,7,HN,375030,470.91005635108587,cat_10
375031,2024,8,CT,375031,462.58083652467855,cat_11
375032,2025,9,HCM,375032,325.0101267614296,cat_12
375033,2023,10,HCM,375033,684.1935243885991,cat_13
375034,2024,11,HN,375034,5.8351858855218985,cat_14
375035,2025,12,DN,375035,677.2576339519879,cat_15
375036,2023,1,HCM,375036,719.5327773125306,cat_16
375037,2024,2,HCM,375037,364.0149053575423,cat_17
375038,2025,3,HN,375038,516.6184843486877,cat_18
375039,2023,4,CT,375039,380.54836624093224,cat_19
375040,2024,5,HCM,375040,874.7383055989411,cat_0
375041,2025,6,HCM,375041,281.5909205490663,cat_1
375042,2023,7,HN,375042,622.9660877341386,cat_2
