id,year,month,city,user_id,amount,category
1437500,2025,9,HCM,1437500,177.64568548594994,cat_0
1437501,2023,10,HCM,1437501,278.71648944834027,cat_1
1437502,2024,11,HN,1437502,916.4843712352401,cat_2
1437503,2025,12,CT,1437503,22.9077793699356,cat_3
1437504,2023,1,HCM,1437504,386.895110120412,cat_4
1437505,2024,2,HCM,1437505,965.9147716397362,cat_5
1437506,2025,3,HN,1437506,342.58078320198206,cat_6
1437507,2023,4,DN,1437507,4.962285858740811,cat_7
1437508,2024,5,HCM,1437508,670.4765195656264,cat_8
1437509,2025,6,HCM,1437509,988.2992837581372,cat_9
1437510,2023,7,HN,1437510,763.1034533228919,cat_10
1437511,2024,8,CT,1437511,922.453458115031,cat_11
1437512,2025,9,HCM,1437512,810.7468299842898,cat_12
1437513,2023,10,HCM,1437513,903.5880405550853,cat_13
1437514,2024,11,HN,1437514,85.74213448437918,cat_14
1437515,2025,12,DN,1437515,792.5765037310089,cat_15
1437516,2023,1,HCM,1437516,786.5758605198645,cat_16
1437517,2024,2,HCM,1437517,143.77008587201246,cat_17
1437518,2025,3,HN,1437518,815.599902628008,cat_18
1437519,2023,4,CT,1437519,529.3558127708195,cat_19
1437520,2024,5,HCM,1437520,541.6484559578605,cat_0
1437521,2025,6,HCM,1437521,326.3594230172209,cat_1
1437522,2023,7,HN,1437522,634.3823144202976,cat_2
1437523,2024,8,DN,1437523,507.8015716290348,cat_3
1437524,2025,9,HCM,1437524,888.2602683534047,cat_4
1437525,2023,10,HCM,1437525,329.510631676261,cat_5
1437526,2024,11,HN,1437526,562.6499422330234,cat_6
1437527,2025,12,CT,1437527,777.2244016103562,cat_7
1437528,2023,1,HCM,1437528,347.0147388808944,cat_8
1437529,2024,2,HCM,1437529,789.1064330475565,cat_9
1437530,2025,3,HN,1437530,49.80081227226307,cat_10
1437531,2023,4,DN,1437531,805.7705559100184,cat_11
1437532,2024,5,HCM,1437532,792.1449143476648,cat_12
1437533,2025,6,HCM,1437533,580.496611678453,cat_13
1437534,2023,7,HN,1437534,618.1962134009979,cat_14
1437535,2024,8,CT,1437535,302.1811958025526,cat_15
1437536,2025,9,HCM,1437536,446.41507363957834,cat_16
1437537,2023,10,HCM,1437537,579.384829995229,cat_17
1437538,2024,11,HN,1437538,470.790607701706,cat_18
1437539,2025,12,DN,1437539,991.1850872309565,cat_19
1437540,2023,1,HCM,1437540,636.8763558401379,cat_0
1437541,2024,2,HCM,1437541,72.45575100890022,cat_1
1437542,2025,3,HN,1437542,791.1592712198195,cat_2
1437543,2023,4,CT,1437543,585.3316814180658,cat_3
1437544,2024,5,HCM,1437544,324.70506967576875,cat_4
1437545,2025,6,HCM,1437545,251.16321076987148,cat_5
1437546,2023,7,HN,1437546,150.0421894225443,cat_6
1437547,2024,8,DN,1437547,952.8351724169863,cat_7
