id,year,month,city,user_id,amount,category
1875000,2023,1,HCM,1875000,679.8476601087027,cat_0
1875001,2024,2,HCM,1875001,800.0602861109456,cat_1
1875002,2025,3,HN,1875002,853.1642495202506,cat_2
1875003,2023,4,DN,1875003,293.80949655290544,cat_3
1875004,2024,5,HCM,1875004,482.5427253242004,cat_4
1875005,2025,6,HCM,1875005,939.0434689581523,cat_5
1875006,2023,7,HN,1875006,352.43097175627724,cat_6
1875007,2024,8,CT,1875007,870.3756682747934,cat_7
1875008,2025,9,HCM,1875008,421.24155829037437,cat_8
1875009,2023,10,HCM,1875009,553.9618339776135,cat_9
1875010,2024,11,HN,1875010,638.0967481867195,cat_10
1875011,2025,12,DN,1875011,261.38151122661014,cat_11
1875012,2023,1,HCM,1875012,320.70130152921485,cat_12
1875013,2024,2,HCM,1875013,600.6142303195633,cat_13
1875014,2025,3,HN,1875014,598.6271069639185,cat_14
1875015,2023,4,CT,1875015,507.36978581941014,cat_15
1875016,2024,5,HCM,1875016,112.35302989805285,cat_16
1875017,2025,6,HCM,1875017,390.8040762141929,cat_17
1875018,2023,7,HN,1875018,409.6668718314748,cat_18
1875019,2024,8,DN,1875019,971.6915219435376,cat_19
1875020,2025,9,HCM,1875020,176.74231680950336,cat_0
1875021,2023,10,HCM,1875021,34.2897022015034,cat_1
1875022,2024,11,HN,1875022,51.2418167804054,cat_2
1875023,2025,12,CT,1875023,486.5619186169967,cat_3
1875024,2023,1,HCM,1875024,435.5174102042154,cat_4
1875025,2024,2,HCM,1875025,817.41220000211,cat_5
1875026,2025,3,HN,1875026,614.3960758612902,cat_6
1875027,2023,4,DN,1875027,950.8393426654623,cat_7
1875028,2024,5,HCM,1875028,815.9010966669784,cat_8
1875029,2025,6,HCM,1875029,293.49094380952965,cat_9
1875030,2023,7,HN,1875030,703.7175095862644,cat_10
1875031,2024,8,CT,1875031,58.1954270128201,cat_11
1875032,2025,9,HCM,1875032,124.64316064116655,cat_12
1875033,2023,10,HCM,1875033,745.2389162967446,cat_13
1875034,2024,11,HN,1875034,669.1816114892046,cat_14
1875035,2025,12,DN,1875035,446.9878550316575,cat_15
1875036,2023,1,HCM,1875036,503.19370967766685,cat_16
1875037,2024,2,HCM,1875037,12.573264222446202,cat_17
1875038,2025,3,HN,1875038,486.5537605306192,cat_18
1875039,2023,4,CT,1875039,126.65133265066298,cat_19
1875040,2024,5,HCM,1875040,150.69554666610463,cat_0
1875041,2025,6,HCM,1875041,953.9639177158252,cat_1
1875042,2023,7,HN,1875042,870.2800219932759,cat_2
1875043,2024,8,DN,1875043,204.68033558650887,cat_3
1875044,2025,9,HCM,1875044,206.47367644013593,cat_4
1875045,2023,10,HCM,1875045,732.5355253504761,cat_5
1875046,2024,11,HN,1875046,569.0210754896324,cat_6
1875047,2025,12,CT,1875047,522.861687750845,cat_7
1875048,2023,1,HCM,1875048,581.7324938181212,cat_8
1875049,2024,2,HCM,1875049,918.553583540914,cat_9
1875050,2025,3,HN,1875050,299.5662082027337,cat_10
1875051,2023,4,DN,1875051,971.9179089129909,cat_11
1875052,2024,5,HCM,1875052,692.3726961643696,cat_12
1875053,2025,6,HCM,1875053,876.1676602399706,cat_13
1875054,2023,7,HN,1875054,543.4161576763843,cat_14
1875055,2024,8,CT,1875055,893.8860115069343,cat_15
1875056,2025,9,HCM,1875056,794.288995155623,cat_16
1875057,2023,10,HCM,1875057,290.3163024809249,cat_17
1875058,2024,11,HN,1875058,227.69517075301104,cat_18
1875059,2025,12,DN,1875059,263.41901991235153,cat_19
1875060,2023,1,HCM,1875060,950.0203711680869,cat_0
1875061,2024,2,HCM,1875061,813.0222908626188,cat_1
1875062,2025,3,HN,1875062,680.1490000916195,cat_2
