id,year,month,city,category,amount,quantity,extra_col_0,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13
875000,2025,9,HCM,cat_0,175.55417683405184,0,7417.521314768131,6327.139960523942,428.3334828571395,5354.0115072671915,7473.301150602741,9341.614841097979,6263.075880069046,1212.434682466551,4303.154976625901,8345.225470542548,3964.4764637567964,1693.792406177491,6883.379900043595,5522.116663707109
875001,2023,10,HN,cat_1,86.73185413245932,1,5523.577384402819,5213.545308661814,7967.782530006617,4914.2221813854685,1073.199177937053,6100.005216996065,5956.810177179061,4963.479240884498,1378.5398533114023,8045.672273745879,3549.2764104568632,8947.932467706372,7761.071650454979,7105.734836174662
875002,2024,11,DN,cat_2,609.8714666414783,2,3499.760775937224,3372.7880350528208,4837.585916878413,6405.940266325846,4323.177402974237,5600.660427388407,4821.07173251619,9741.292342062667,209.3043111484616,2859.062905686385,5734.590906705881,436.9900967864304,3528.2756518106285,7060.215941308356
875003,2025,12,CT,cat_3,878.4860065523578,3,7972.51081310126,2321.645278681137,3031.8139069549034,4514.476196248836,1479.4731380850933,9808.631435439893,326.2624779398704,6501.403118492663,6730.990854023332,5437.485615944129,2646.4998325020674,3404.7849736104286,1486.9701676980173,972.0049130573183
875004,2023,1,HP,cat_4,675.8859069489378,4,7363.267370622515,5513.368903934308,5283.330647157113,7021.978248236868,9261.80618988378,5303.6163348070095,43.6783868840751,4174.1515177379,8868.839463613782,6169.532730329946,7450.223643755234,9003.874134613163,3619.361197004759,4555.863097944931
875005,2024,2,HCM,cat_5,845.4921735897344,5,6474.021530940596,3952.6074198022043,7027.58785770961,1980.706896349127,1901.6423741395838,6423.681687564967,2893.5855170652103,2203.0409036329156,5468.983054544915,2058.26797039832,7634.171743385617,757.3182609086726,4294.974708843654,9576.884546262436
875006,2025,3,HN,cat_6,773.0952552921091,6,4386.656392920421,4120.247963049164,20.379696146012314,3024.450871752099,8794.310485724667,1392.609065936393,1914.1770934903557,7427.338773271833,7039.622608544587,8923.081593710382,4498.737525604939,2673.9634588764925,9568.604206916047,9699.072036895248
875007,2023,4,DN,cat_7,995.9278995913576,7,1861.6962205586397,6681.790576057123,4932.529437691492,6248.000123245088,7112.20453030956,3007.192468675506,3977.620989239401,8988.492526728342,3358.6351432081296,203.15649035403948,2094.8986952157566,7866.690264349897,8000.011235248951,6366.013898801387
875008,2024,5,CT,cat_8,265.7471143127842,8,8962.040724788816,179.61362996805508,5901.986557881372,8549.903681495634,2050.9157333530557,8127.64228587943,4035.4985541426267,8027.994326126495,3453.5872664577614,1385.8396659135108,7042.916598635504,7828.402326076287,1941.4020952892286,1216.3834658093708
875009,2025,6,HP,cat_9,64.19252579567258,9,311.10369112666626,7551.965734452375,9025.598437787708,5591.917191820852,4195.101200057934,1402.9758384484426,5556.684531177699,9266.375431642786,5294.581960644299,8672.341459364085,9565.947025311098,4322.513701944269,2564.381191443439,615.2887839896893
875010,2023,7,HCM,cat_0,862.842263271471,10,4190.734261550768,2521.4178786332054,2076.156403114557,8101.068723981321,9065.23622245524,5086.543614795734,6699.207361610269,2858.6791081973515,2800.561752664059,6101.529705914944,8066.884300937813,9600.942284035065,4807.280765434974,8463.555581393666
875011,2024,8,HN,cat_1,719.3031322727313,11,6428.031398536868,18.20429920506683,9393.118557451018,6123.61974639903,520.2633080180052,3809.6247731431545,1514.728985575754,9251.577904493546,6128.958880188134,6989.645277220489,323.8839888262868,8745.873439971565,6899.5303324781335,1452.228350261201
875012,2025,9,DN,cat_2,380.1105575719933,12,5586.6329965979585,8324.096459208733,3713.0230049015477,7024.824503889663,5665.934029897637,6051.866915246668,4527.809263170422,7677.386438529379,316.70672438735556,7243.273580389844,8095.60979611656,377.07751969978773,3745.554581106587,6743.519736423808
875013,2023,10,CT,cat_3,647.9011104974151,13,3561.151605946288,1748.8712023683638,1952.0436917958395,1973.1400728497729,951.6195614669931,8743.505994527088,6089.388903027858,1911.6458650979396,8361.867280354209,6262.893820038129,9783.687750797848,2413.3549764089257,7384.53551682439,8342.343748710719
875014,2024,11,HP,cat_4,648.3360281509279,14,780.2145289146179,9758.269712948517,3253.461221312389,2654.9093749589924,930.3043741206928,5732.091327855691,3890.286575661721,9964.320590315407,8451.378179547375,5607.925977770194,3840.0710344147506,2822.5785341004726,6286.96310225888,5130.776264707805
875015,2025,12,HCM,cat_5,884.537668306443,15,5013.171232873303,8608.51061056841,151.74584222229836,6707.08860499027,1302.0181935181197,8372.094349634674,1698.972611759596,8771.657941082958,6197.358229511567,1046.9673869921637,4491.393148673466,7882.57208386352,2809.0902302127106,4594.48352517358
875016,2023,1,HN,cat_6,149.85557702028774,16,1824.962656265542,6028.06086896234,3035.306905005777,6658.432962638659,309.20224433890087,4797.093689148935,9773.562860091924,2198.5476143940496,2119.4117178728834,5723.006865553397,8205.773359021632,7560.063296944045,2908.2672414510334,9002.465376959086
875017,2024,2,DN,cat_7,228.56350619602094,17,2949.6493552044967,6555.332213295291,5870.256295086717,422.7654638051348,7351.2954033756705,7107.814732433631,7585.581499054777,4773.010248138564,9622.498455195982,2403.8108944573332,1322.0071426208956,4464.7826007384865,6296.358134400496,4557.022682626819
